Company,Major index membership,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Stock has options trading on a market exchange,Stock available to sell short,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (yoy),Quarterly earnings growth (yoy),Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close,Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest share,Short interest ratio,Analysts' mean target price,52-Week trading range,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Average volume (3 month),Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),"Volatility (Week, Month)",Previous close,Current stock price,Performance (today)
PXD,S&P 500,56.25B,4.19B,20.95B,97.40,13.24,16.87,7.38%,1932,Yes,Yes,2.00,13.95,7.92,0.66,2.68,2.35,17.27,10.13,1.40,1.50,0.24,0.23,6.01%,16.39,28.89,8.75,810.30%,-12.42%,21.21%,35.50%,38.50%,100.60%,1674.40%,Aug 08 AMC,-5.65%,0.40%,-12.69%,92.50%,0.42%,11.30%,18.20%,18.20%,53.90%,38.80%,20.00%,40.70%,6.04%,243.00M,240.58M,2.26%,1.97,294.67,128.98 - 288.46,-20.73%,77.29%,53.86,0.53,2.75M,"1,452,865",7.22%,-2.83%,1.11%,11.72%,68.19%,30.49%,1.54,9.61,4.09% 3.87%,226.54,228.67,0.94%
PYPL,S&P 500,101.51B,3.58B,25.82B,17.72,6.74,-,-,30900,Yes,Yes,2.10,28.38,18.22,2.11,3.93,4.85,12.75,20.52,1.20,1.20,0.45,0.40,13.98%,3.02,4.71,0.86,-0.70%,22.87%,13.47%,25.00%,18.50%,7.50%,-52.90%,Aug 02 AMC,10.41%,0.10%,-2.26%,75.00%,-0.17%,4.80%,16.80%,14.10%,45.40%,15.20%,13.90%,0.00%,-37.04%,1.16B,1.16B,1.99%,1.42,113.64,67.58 - 302.43,-71.61%,27.05%,61.73,0.76,16.21M,"12,301,805",3.76%,19.55%,3.93%,-45.31%,-71.57%,-54.47%,1.46,3.96,4.92% 4.54%,86.42,85.86,-0.65%
QCOM,S&P 500,166.33B,11.16B,39.27B,11.85,10.17,3.00,2.05%,45000,Yes,Yes,2.00,14.99,11.19,1.15,4.24,12.36,14.41,40.26,1.30,1.60,1.18,0.91,4.65%,9.77,13.09,2.87,74.00%,4.72%,13.01%,15.60%,7.30%,40.70%,68.10%,Jul 27 AMC,8.07%,0.12%,-0.45%,75.60%,0.08%,26.70%,104.30%,33.20%,58.50%,32.60%,28.40%,27.50%,-5.03%,1.12B,1.12B,1.52%,1.69,196.45,118.22 - 193.58,-24.35%,23.87%,55.52,1.69,10.03M,"16,964,007",-6.04%,11.28%,8.40%,-12.31%,2.82%,-19.92%,1.27,5.42,2.81% 3.50%,153.42,146.45,-4.54%
QRVO,S&P 500,11.16B,1.03B,4.65B,42.20,9.05,-,-,8900,Yes,Yes,2.50,11.23,8.39,0.91,2.40,2.46,11.48,13.36,2.50,3.60,0.00,0.45,4.24%,9.25,12.38,2.12,46.50%,19.41%,12.34%,135.90%,8.90%,8.70%,-24.80%,Aug 03 AMC,1.90%,0.30%,-7.43%,91.90%,-0.01%,13.80%,22.20%,16.30%,49.20%,26.40%,22.20%,0.00%,-20.30%,107.89M,104.34M,2.78%,1.99,135.86,90.16 - 201.46,-48.46%,15.17%,54.22,0.98,1.46M,"1,427,059",-2.96%,5.37%,-5.83%,-22.30%,-45.44%,-33.60%,1.38,3.62,3.01% 3.37%,104.10,103.84,-0.25%
RCL,S&P 500,9.90B,-5295.90M,2.55B,15.65,7.53,-,-,85000,Yes,Yes,2.50,-,7.68,-,3.88,2.42,5.03,-,0.40,0.40,5.64,5.00,9.50%,-20.79,4.93,-2.20,22.80%,185.60%,-,-40.70%,-29.00%,2777.30%,1.70%,Jul 28 BMO,-12.94%,0.50%,-2.58%,76.10%,-0.81%,-16.10%,-90.40%,-15.40%,-37.00%,-,-,-,-45.98%,254.82M,219.75M,7.83%,2.87,78.79,31.09 - 98.27,-61.47%,21.78%,50.57,1.75,5.99M,"10,477,168",5.90%,-5.68%,-52.44%,-53.32%,-52.73%,-50.77%,2.49,2.52,5.40% 6.11%,34.91,37.86,8.45%
RE,S&P 500,10.12B,1.32B,12.16B,245.41,45.37,0.04,0.02%,1947,Yes,Yes,-,7.68,6.29,-,0.83,1.05,5.69,-,-,-,0.32,0.32,-5.88%,33.62,41.06,8.06,189.40%,30.46%,-,7.90%,15.30%,10.50%,-11.30%,Jul 27 AMC,-6.57%,1.40%,-0.85%,96.40%,0.10%,-,-,11.00%,-,-,-,-,-7.78%,38.82M,38.81M,1.36%,2.25,336.83,240.58 - 308.20,-16.20%,7.35%,34.90,3.53,234.74K,"829,384",-4.43%,-7.91%,-9.32%,-8.34%,6.11%,-5.72%,0.59,7.19,2.38% 2.25%,271.12,258.26,-4.74%
REG,S&P 500,11.02B,476.00M,1.19B,35.80,1.02,2.50,3.92%,432,Yes,Yes,2.30,22.92,31.84,44.32,9.22,1.78,62.60,45.23,-,-,0.61,0.61,4.57%,2.78,2.00,0.45,699.30%,-15.81%,0.52%,8.30%,13.70%,10.40%,142.00%,Aug 04 AMC,2.18%,0.50%,-0.50%,-,0.06%,4.40%,7.90%,3.80%,72.50%,33.10%,39.80%,87.50%,-7.28%,171.31M,170.92M,2.08%,3.78,68.81,55.78 - 78.78,-19.08%,14.29%,58.95,1.01,939.21K,"945,489",1.21%,4.37%,-8.97%,-9.48%,-1.33%,-15.39%,1.10,1.43,1.76% 2.13%,62.86,63.75,1.42%
REGN,S&P 500,64.66B,7.93B,16.51B,186.47,63.50,-,-,10368,Yes,Yes,2.30,8.25,13.46,-,3.92,3.12,9.17,8.15,4.30,4.80,0.14,0.14,-2.54%,70.56,43.26,9.13,135.80%,1.06%,-,56.40%,27.00%,17.30%,-14.70%,Aug 03 BMO,-4.96%,1.00%,-8.88%,87.80%,0.12%,32.70%,44.70%,35.80%,84.60%,55.10%,48.10%,0.00%,-7.79%,106.80M,105.12M,2.72%,4.24,690.05,538.01 - 747.42,-22.08%,8.25%,41.81,0.86,673.28K,"579,884",-1.70%,-2.03%,-13.53%,-3.78%,-0.69%,-7.78%,0.30,16.88,3.53% 2.74%,587.91,582.37,-0.94%
RF,S&P 500,19.28B,2.31B,4.12B,16.34,30.31,0.80,3.82%,19723,Yes,Yes,2.20,8.68,8.57,-,4.68,1.28,0.69,8.27,-,-,0.15,0.15,7.16%,2.41,2.44,0.58,141.90%,7.53%,-0.64%,23.60%,1.40%,3.80%,-12.80%,Jul 22 BMO,4.48%,0.20%,0.00%,77.70%,-0.05%,1.50%,14.70%,19.60%,-,-,58.30%,25.30%,-5.42%,938.00M,929.78M,2.00%,2.38,24.10,18.01 - 25.57,-18.19%,16.16%,59.67,0.86,7.80M,"6,701,406",2.70%,7.67%,-1.65%,-10.71%,7.78%,-4.04%,1.31,0.68,3.59% 3.05%,21.17,20.92,-1.18%
RHI,S&P 500,9.27B,682.90M,7.16B,13.30,4.64,1.72,2.20%,14600,Yes,Yes,2.80,12.66,12.93,1.10,1.29,5.87,16.84,23.41,1.80,1.80,0.00,0.00,0.40%,6.17,6.04,1.62,98.30%,-4.03%,11.50%,15.00%,4.20%,29.80%,54.70%,Jul 21 AMC,-5.10%,2.60%,-1.60%,97.10%,2.77%,20.70%,44.30%,43.30%,42.70%,11.20%,8.40%,28.00%,-25.36%,109.22M,107.50M,5.89%,5.82,80.00,73.10 - 125.77,-37.88%,6.88%,47.05,0.53,1.09M,"575,673",-5.53%,3.11%,-21.87%,-29.69%,-18.33%,-29.94%,1.50,2.76,3.08% 2.99%,77.65,78.13,0.62%
RJF,S&P 500,20.82B,1.50B,10.77B,41.42,26.18,1.36,1.43%,15000,Yes,Yes,2.00,13.45,10.29,1.58,1.93,2.30,3.64,4.68,-,-,4.42,0.34,3.97%,7.09,9.27,1.66,71.00%,26.37%,8.54%,22.20%,12.40%,12.50%,-9.50%,Jul 27 AMC,3.21%,0.20%,-8.39%,77.70%,-0.09%,2.30%,18.10%,3.20%,96.20%,18.00%,14.00%,15.30%,-4.88%,207.70M,195.06M,1.30%,1.98,114.57,84.64 - 117.37,-18.74%,12.69%,56.50,1.36,1.28M,"1,743,549",-1.11%,3.85%,-5.02%,-3.13%,9.89%,-5.00%,1.11,2.76,2.65% 2.74%,95.87,95.38,-0.51%
RL,S&P 500,6.91B,600.10M,6.22B,35.77,36.60,3.00,3.08%,13500,Yes,Yes,2.40,12.14,10.42,0.22,1.11,2.72,2.66,17.32,1.40,1.90,0.79,0.58,4.17%,8.02,9.34,1.75,653.30%,12.71%,55.80%,54.20%,-1.30%,18.30%,133.50%,May 24 BMO,1.88%,3.30%,-0.20%,99.81%,0.13%,7.50%,22.10%,14.20%,66.50%,12.80%,9.70%,16.80%,-12.46%,70.90M,44.53M,8.22%,3.47,117.05,86.54 - 135.99,-28.42%,12.48%,54.59,0.46,1.05M,"484,977",-0.90%,4.59%,-5.85%,-8.00%,-11.85%,-18.11%,1.40,3.31,3.44% 3.10%,95.24,97.34,2.20%
RMD,S&P 500,35.74B,779.50M,3.54B,22.42,1.37,1.68,0.69%,7970,Yes,Yes,2.40,45.80,37.42,1.85,10.10,10.84,177.09,289.36,1.60,2.60,0.21,0.20,9.06%,5.31,6.50,1.45,-24.10%,13.33%,24.70%,5.40%,11.70%,12.40%,325.80%,Aug 11 AMC,15.00%,0.70%,-7.41%,68.40%,0.07%,16.30%,25.30%,14.00%,56.30%,27.90%,22.00%,30.90%,2.78%,146.24M,145.09M,1.06%,2.50,244.33,189.40 - 301.34,-19.34%,28.34%,74.47,0.78,618.76K,"479,638",4.36%,15.05%,13.20%,5.21%,-8.63%,-6.68%,0.44,5.57,2.41% 2.58%,240.16,243.07,1.21%
ROK,S&P 500,28.60B,644.00M,7.32B,22.65,3.88,4.48,1.81%,24500,Yes,Yes,2.60,44.97,22.76,4.79,3.91,10.92,63.64,334.11,0.80,1.10,1.56,1.32,18.84%,5.50,10.86,2.38,32.10%,17.35%,9.38%,15.80%,3.50%,1.80%,-87.00%,Jul 27 BMO,20.05%,0.16%,-1.61%,83.60%,2.23%,6.30%,26.30%,21.10%,39.60%,8.80%,8.80%,78.90%,-10.06%,116.20M,116.04M,2.65%,2.63,229.10,190.08 - 354.99,-30.36%,30.07%,80.10,1.29,1.17M,"1,508,456",12.12%,25.09%,-3.72%,-17.05%,-17.36%,-29.13%,1.40,8.03,3.65% 3.09%,240.46,247.23,2.82%
ROL,S&P 500,19.04B,330.50M,2.48B,2.25,0.52,0.40,1.04%,16482,Yes,Yes,2.60,57.40,47.85,7.00,7.68,17.14,73.72,153.56,1.00,1.00,0.27,0.25,7.56%,0.67,0.81,0.20,34.30%,10.87%,8.20%,15.90%,9.00%,10.30%,-21.90%,Jul 27 BMO,10.17%,1.50%,0.00%,42.20%,0.06%,16.70%,30.40%,25.50%,51.70%,18.10%,13.30%,53.60%,13.28%,492.21M,205.73M,7.01%,8.92,36.25,28.50 - 40.02,-3.62%,35.31%,67.34,1.94,1.62M,"3,136,386",5.50%,11.76%,15.10%,29.87%,4.93%,12.74%,0.57,1.14,4.79% 2.80%,35.36,38.57,9.08%
ROP,S&P 500,46.35B,1.00B,5.93B,128.33,30.43,2.48,0.57%,19300,Yes,Yes,2.30,46.53,27.01,5.09,7.82,3.40,14.32,26.60,1.20,1.30,0.55,0.49,8.55%,9.36,16.13,3.74,18.10%,2.95%,9.15%,7.50%,8.80%,10.90%,5.90%,Jul 22 BMO,7.02%,0.30%,-0.16%,98.60%,0.03%,4.80%,9.70%,6.10%,67.70%,25.00%,19.40%,20.60%,-3.02%,105.60M,105.13M,1.24%,1.98,491.50,369.51 - 505.00,-13.72%,17.91%,68.82,0.83,659.03K,"546,257",5.56%,11.23%,-8.22%,2.08%,-10.79%,-11.42%,1.02,9.36,2.40% 2.06%,418.29,435.69,4.16%
ROST,S&P 500,28.61B,1.58B,18.73B,11.68,11.42,1.24,1.52%,100000,Yes,Yes,2.20,18.10,15.77,0.52,1.53,6.97,7.12,-,1.20,1.90,0.61,0.61,5.40%,4.50,5.16,1.03,3.50%,16.92%,34.73%,11.50%,8.00%,-4.10%,-27.60%,May 19 AMC,2.93%,0.40%,-0.07%,90.70%,0.40%,11.60%,39.60%,27.60%,26.80%,11.50%,8.50%,25.80%,-15.81%,347.05M,346.95M,2.51%,2.12,96.55,69.24 - 127.34,-36.08%,17.56%,55.57,0.37,4.12M,"1,542,294",-2.64%,11.84%,-19.60%,-14.10%,-32.83%,-28.77%,1.04,2.56,2.79% 2.85%,80.27,81.40,1.41%
RSG,S&P 500,43.43B,1.35B,11.67B,28.38,0.12,1.84,1.34%,35000,Yes,Yes,2.20,32.50,26.40,3.06,3.72,4.84,1113.64,45.77,0.70,0.80,1.07,1.07,5.48%,4.22,5.20,1.18,33.60%,10.95%,10.61%,17.80%,3.80%,14.30%,19.90%,Aug 04 AMC,5.76%,34.80%,0.90%,95.80%,0.05%,5.50%,15.10%,9.70%,40.30%,18.40%,11.50%,41.80%,5.04%,316.60M,315.05M,0.47%,1.22,145.43,113.57 - 145.98,-5.97%,20.86%,66.94,0.82,1.22M,"994,285",4.59%,7.31%,0.15%,9.73%,18.99%,-1.57%,0.72,2.50,1.65% 1.85%,132.94,137.26,3.25%
RTX,S&P 500,138.40B,4.23B,64.85B,48.74,4.03,2.20,2.38%,174000,Yes,Yes,1.90,32.96,15.97,2.03,2.13,1.90,22.91,84.08,0.90,1.20,0.43,0.43,-1.04%,2.80,5.79,1.12,212.80%,21.30%,16.20%,-15.90%,2.40%,3.00%,44.40%,Jul 26 BMO,-1.38%,0.10%,-2.25%,81.00%,0.20%,2.60%,5.80%,3.40%,20.00%,6.70%,6.50%,72.50%,-0.43%,1.49B,1.48B,0.76%,2.28,114.62,79.00 - 106.02,-12.86%,16.95%,47.97,0.90,4.97M,"4,483,365",-2.63%,-1.48%,-6.53%,3.83%,5.95%,7.36%,1.17,2.47,2.30% 2.42%,90.27,92.39,2.35%
SBAC,S&P 500,36.06B,438.00M,2.38B,-50.19,-,2.84,0.85%,1596,Yes,Yes,2.20,84.43,68.16,2.39,15.15,-,-,-,0.40,0.40,-,-,4.11%,3.96,4.91,0.90,906.10%,8.03%,35.30%,28.50%,7.20%,13.00%,-,Aug 01 AMC,3.58%,0.70%,-4.69%,97.30%,-0.00%,-,-,10.40%,76.10%,-,-,-,-0.50%,108.09M,106.48M,1.35%,2.16,377.82,286.41 - 391.15,-14.44%,16.85%,59.19,0.71,663.66K,"473,171",4.41%,6.24%,-4.07%,5.99%,-1.66%,-13.97%,0.42,9.37,2.68% 2.66%,320.46,334.67,4.43%
SBNY,S&P 500,12.05B,880.60M,2.19B,132.53,407.68,2.24,1.21%,1854,Yes,Yes,1.60,12.35,7.55,1.95,5.50,1.40,0.45,16.80,-,-,0.07,0.07,-0.17%,15.02,24.57,5.55,51.20%,11.77%,6.32%,15.40%,10.70%,30.70%,63.70%,Jul 19 BMO,-3.45%,1.50%,0.00%,97.70%,-0.13%,0.80%,11.50%,17.80%,-,83.60%,40.20%,14.80%,-33.27%,61.67M,61.35M,3.59%,1.94,268.29,165.36 - 374.76,-50.51%,12.16%,48.50,0.75,1.13M,"849,957",2.14%,-1.11%,-25.06%,-39.30%,-19.85%,-42.67%,1.77,9.14,4.25% 4.53%,180.51,185.46,2.74%
SBUX,S&P 500,97.05B,4.41B,31.33B,-7.63,3.49,1.96,2.31%,383000,Yes,Yes,2.40,22.66,24.81,2.97,3.10,-,24.29,68.92,0.60,0.80,-,-,5.95%,3.74,3.41,0.75,351.00%,19.75%,7.62%,13.30%,6.40%,14.50%,5.00%,Aug 02 AMC,9.94%,1.80%,1.03%,70.50%,0.30%,14.90%,-60.10%,49.30%,27.70%,19.00%,14.10%,50.00%,-8.97%,1.15B,1.14B,1.46%,1.73,94.27,68.39 - 123.47,-31.42%,23.80%,65.66,0.58,9.65M,"5,566,672",1.35%,10.91%,13.29%,-11.41%,-30.83%,-27.61%,0.95,2.03,2.46% 2.37%,82.96,84.67,2.06%
SCHW,S&P 500,128.67B,5.79B,19.60B,19.75,47.95,0.80,1.18%,34200,Yes,Yes,1.90,22.26,14.43,1.18,6.57,3.43,1.41,106.96,-,-,13.15,0.58,7.77%,3.04,4.69,1.04,33.20%,21.15%,18.89%,16.60%,20.00%,-0.20%,-8.60%,Jul 18 BMO,5.72%,0.10%,-33.19%,75.30%,0.13%,0.80%,12.00%,1.10%,97.20%,39.40%,27.40%,25.40%,-13.11%,1.89B,1.70B,0.86%,1.87,86.82,59.35 - 96.24,-29.66%,14.07%,62.52,2.10,7.79M,"16,372,248",7.24%,5.50%,-1.28%,-24.79%,-0.22%,-19.50%,1.08,2.06,3.63% 2.80%,62.51,67.70,8.30%
SEDG,S&P 500,19.16B,172.20M,2.21B,37.84,20.68,-,-,3964,Yes,Yes,2.20,109.60,34.92,3.68,8.66,9.02,16.50,-,3.60,4.30,0.00,0.34,20.67%,3.11,9.77,1.39,15.20%,44.93%,29.81%,39.50%,52.30%,61.60%,9.40%,Aug 02 AMC,23.15%,0.60%,-23.41%,84.50%,0.59%,-,-,9.60%,30.20%,-,-,-,18.19%,53.13M,52.27M,3.44%,2.11,347.96,200.86 - 389.71,-12.45%,69.86%,70.07,2.84,850.55K,"2,417,733",16.46%,22.19%,36.76%,59.34%,34.25%,21.61%,1.04,20.24,6.35% 6.19%,325.19,341.19,4.92%
SEE,S&P 500,8.94B,535.00M,5.68B,1.29,1.89,0.80,1.31%,16500,Yes,Yes,2.20,17.14,13.53,1.73,1.57,47.19,32.15,27.85,0.70,1.30,19.43,19.38,5.32%,3.55,4.50,0.97,3.90%,9.38%,9.93%,16.90%,5.60%,11.90%,47.00%,Aug 02 BMO,2.37%,0.70%,0.00%,95.77%,0.05%,8.90%,330.50%,16.40%,30.90%,16.10%,9.60%,21.80%,-4.29%,147.60M,145.32M,1.28%,2.09,71.23,54.51 - 70.72,-13.92%,11.69%,61.33,0.67,888.52K,"596,100",2.42%,4.41%,-6.50%,-7.34%,9.36%,-9.77%,1.16,1.39,1.93% 2.29%,60.37,60.88,0.84%
SHW,S&P 500,62.63B,1.83B,20.29B,8.63,1.56,2.40,0.99%,61626,Yes,Yes,2.50,35.40,22.17,2.52,3.09,28.16,156.15,58.26,0.50,0.90,4.74,3.85,-0.24%,6.87,10.96,2.77,-5.20%,16.86%,14.06%,11.80%,11.00%,7.40%,-6.90%,Jul 27 BMO,-2.06%,0.20%,0.28%,79.00%,-0.11%,8.70%,71.60%,15.30%,41.80%,10.80%,9.00%,32.20%,-13.81%,258.80M,238.30M,1.19%,1.55,291.82,214.22 - 354.15,-31.37%,13.45%,48.36,1.37,1.83M,"2,495,145",-5.28%,8.84%,-13.01%,-16.98%,-15.48%,-30.99%,1.09,9.08,3.64% 3.05%,231.97,243.04,4.77%
SIVB,S&P 500,27.76B,1.54B,4.25B,209.76,324.61,-,-,7149,Yes,Yes,2.00,15.05,9.64,1.88,6.52,1.86,1.20,16.34,-,-,0.21,0.21,-3.46%,25.97,40.53,8.52,36.60%,26.00%,8.00%,33.70%,22.50%,65.30%,-21.00%,Jul 21 AMC,-8.42%,0.20%,-11.49%,94.20%,0.05%,0.90%,15.10%,15.90%,-,71.80%,41.60%,0.00%,-32.18%,58.80M,58.35M,3.12%,2.97,542.32,355.37 - 763.22,-48.80%,9.96%,45.66,0.70,613.57K,"431,600",-10.41%,-3.43%,-23.09%,-30.27%,-30.43%,-42.38%,1.84,22.22,6.93% 4.70%,379.43,390.78,2.99%
SJM,S&P 500,13.80B,629.90M,8.00B,75.86,1.61,4.08,3.11%,6700,Yes,Yes,3.10,22.43,14.23,13.98,1.73,1.73,81.24,45.90,0.50,1.00,0.55,0.53,-0.16%,5.84,9.20,1.26,-25.10%,14.18%,1.60%,2.70%,1.60%,5.90%,39.40%,Jun 07 BMO,1.82%,0.80%,0.00%,85.50%,0.17%,3.90%,7.70%,6.40%,34.00%,12.60%,7.90%,66.20%,-1.20%,107.30M,101.82M,4.69%,4.94,131.40,118.55 - 146.74,-10.73%,10.50%,52.21,0.72,966.16K,"696,392",1.76%,2.98%,-6.18%,-4.64%,0.18%,-3.55%,0.24,2.79,2.38% 2.08%,129.43,131.00,1.21%
SLB,S&P 500,48.40B,2.09B,23.67B,10.87,1.95,0.70,1.96%,92000,Yes,Yes,-,24.43,13.27,0.58,2.05,3.29,18.27,17.22,0.90,1.20,0.92,0.86,4.62%,1.46,2.69,0.52,117.40%,41.56%,42.10%,25.10%,-3.80%,14.10%,68.80%,Jul 22 BMO,-9.34%,0.20%,-4.92%,81.00%,0.16%,4.50%,13.30%,7.90%,16.40%,11.70%,7.90%,37.20%,-4.24%,1.41B,1.41B,1.79%,1.81,49.03,25.90 - 49.83,-28.34%,37.90%,49.58,0.74,13.95M,"10,267,211",6.18%,-3.41%,-10.61%,-10.28%,21.79%,19.23%,1.89,1.75,4.38% 4.16%,36.33,35.71,-1.71%
SNA,S&P 500,11.75B,868.80M,4.73B,81.13,15.33,5.68,2.56%,12800,Yes,Yes,2.70,13.90,13.30,3.09,2.48,2.73,14.45,31.24,2.40,3.30,0.28,0.27,8.91%,15.94,16.66,3.85,30.40%,2.03%,4.50%,10.20%,4.40%,4.70%,13.60%,Jul 21 BMO,6.46%,1.60%,-2.24%,91.70%,0.21%,12.80%,20.60%,16.30%,52.70%,24.90%,18.40%,33.80%,4.67%,53.30M,52.59M,5.88%,9.74,234.11,190.08 - 235.36,-5.84%,16.59%,72.14,1.13,317.89K,"360,077",4.63%,10.19%,0.54%,6.18%,0.60%,2.89%,1.10,4.61,1.84% 2.03%,219.27,221.61,1.07%
SNPS,S&P 500,55.57B,1.01B,4.76B,36.35,11.23,-,-,16361,Yes,Yes,1.90,56.45,37.58,2.88,11.68,9.98,32.30,35.15,1.20,1.20,0.00,0.00,13.74%,6.42,9.65,1.99,12.80%,12.31%,19.60%,22.80%,11.70%,24.90%,52.00%,May 18 AMC,16.51%,0.40%,-29.28%,92.40%,0.42%,11.40%,18.90%,12.70%,80.00%,23.20%,21.20%,0.00%,13.97%,153.09M,152.08M,1.09%,1.75,383.63,255.02 - 377.60,-3.96%,42.20%,74.63,0.85,948.40K,"802,883",7.08%,19.42%,26.34%,25.67%,27.83%,-1.59%,1.18,9.79,2.63% 2.86%,353.54,362.64,2.57%
SO,S&P 500,79.36B,2.29B,23.85B,26.62,1.59,2.72,3.59%,27300,Yes,Yes,2.80,35.39,20.02,5.78,3.33,2.85,47.75,-,0.70,0.90,1.91,1.79,5.65%,2.14,3.79,0.84,-23.50%,6.49%,6.12%,-2.60%,3.00%,12.50%,-9.30%,Jul 28 BMO,5.24%,0.20%,-17.55%,63.00%,-0.04%,1.80%,8.10%,4.20%,85.40%,14.60%,9.60%,122.40%,10.31%,1.06B,1.06B,1.40%,3.01,74.12,60.99 - 77.24,-1.81%,24.35%,68.29,1.18,4.94M,"5,835,908",7.04%,7.39%,3.21%,13.16%,18.52%,10.59%,0.48,1.35,1.83% 1.82%,73.26,75.84,3.52%
SPG,S&P 500,35.51B,2.23B,5.17B,9.78,1.56,6.80,6.33%,2400,Yes,Yes,2.20,15.86,17.81,1.84,6.86,10.99,68.96,68.49,-,-,7.83,7.83,8.48%,6.78,6.03,1.44,90.30%,4.98%,8.60%,3.10%,-1.20%,4.50%,-4.30%,Aug 01 AMC,4.24%,0.10%,1.90%,89.50%,0.13%,6.60%,68.20%,8.20%,81.00%,46.00%,43.10%,91.50%,-19.51%,328.61M,327.07M,2.12%,3.14,131.33,93.06 - 171.12,-37.20%,15.47%,63.77,0.77,2.21M,"1,692,632",3.09%,8.27%,-12.01%,-26.18%,-14.18%,-32.74%,1.51,2.59,1.99% 2.36%,104.12,107.46,3.21%
SPGI,S&P 500,127.21B,3.50B,8.67B,144.27,-,3.40,0.91%,22850,Yes,Yes,1.70,27.03,25.42,2.57,14.67,2.60,-,55.89,1.40,1.40,0.29,0.29,6.98%,13.86,14.73,2.95,29.40%,19.72%,10.50%,9.50%,7.90%,18.50%,43.00%,Aug 02 BMO,9.62%,0.10%,-4.38%,93.80%,0.30%,12.90%,31.30%,54.00%,72.10%,57.90%,40.40%,22.10%,-6.82%,275.20M,240.71M,3.15%,2.88,410.06,311.87 - 484.21,-22.64%,20.11%,68.43,0.66,2.63M,"1,731,506",3.59%,12.59%,-1.59%,-5.77%,-8.99%,-20.63%,1.03,8.80,2.52% 2.27%,360.92,374.59,3.79%
SRE,S&P 500,51.16B,992.00M,13.42B,79.74,8.05,4.58,2.80%,15390,Yes,Yes,2.30,51.73,18.20,7.58,3.81,2.05,20.31,30.95,0.70,0.70,1.07,0.97,8.18%,3.16,8.99,1.75,-38.80%,5.32%,6.83%,-6.00%,4.70%,17.20%,-32.00%,Aug 04 BMO,6.09%,0.04%,-22.38%,90.80%,-0.00%,1.40%,4.00%,2.30%,-,8.40%,7.40%,138.60%,13.03%,316.35M,314.10M,1.23%,2.45,171.25,119.56 - 173.28,-5.60%,36.82%,71.18,0.65,1.57M,"1,017,203",6.57%,8.18%,-0.07%,21.49%,23.20%,23.66%,0.65,3.42,2.16% 2.23%,159.95,163.58,2.27%
STE,S&P 500,22.75B,243.90M,4.59B,65.26,3.45,1.72,0.76%,16422,Yes,Yes,1.60,94.03,23.87,9.40,4.96,3.45,65.33,97.24,1.40,2.00,0.47,0.45,6.43%,2.39,9.43,1.92,-46.40%,8.45%,10.00%,14.20%,11.90%,38.60%,-49.80%,Aug 02 AMC,4.91%,0.20%,-13.06%,95.80%,0.47%,2.10%,3.70%,3.70%,44.00%,9.30%,5.30%,70.00%,-1.09%,100.10M,99.78M,1.58%,3.22,259.83,192.40 - 255.93,-12.04%,17.00%,65.88,0.92,489.57K,"450,894",2.46%,10.05%,-2.68%,3.20%,5.05%,-7.52%,0.71,4.72,1.96% 2.06%,221.53,225.11,1.62%
STT,S&P 500,25.59B,2.65B,2.25B,66.15,381.19,2.28,3.26%,39335,Yes,Yes,2.30,9.69,8.06,1.52,11.38,1.06,0.18,-,-,-,0.57,0.57,8.29%,7.22,8.68,1.77,13.70%,23.62%,6.39%,7.70%,-4.90%,10.40%,14.00%,Jul 15 BMO,5.53%,0.40%,0.00%,94.50%,0.54%,0.80%,10.50%,3.70%,-,88.70%,-,29.20%,-16.68%,366.54M,347.07M,1.13%,1.40,80.21,58.79 - 104.87,-33.28%,19.01%,61.41,0.69,2.82M,"1,956,720",3.17%,8.50%,4.65%,-25.82%,-18.87%,-24.76%,1.62,2.15,2.51% 3.00%,68.91,69.97,1.54%
